epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,11.2769,1.49908,4.40909,1.26655,0,0,0,0,1.44008,4.38368,1.1085,0.00015708,5.236e-05,0.00015708,5.236e-05,0.00015708,5.236e-05,0.00015708,5.236e-05
2,17.4565,1.42557,4.38712,1.23492,0,0,0,0,1.42865,4.39449,1.10942,0.000321937,0.000107312,0.000321937,0.000107312,0.000321937,0.000107312,0.000321937,0.000107312
3,22.8064,1.39734,4.37302,1.21647,0,0,0,0,1.39885,4.40398,1.10241,0.000480008,0.000160003,0.000480008,0.000160003,0.000480008,0.000160003,0.000480008,0.000160003
4,27.7764,1.39805,4.37272,1.20806,0,0,0,0,1.37854,4.40975,1.10098,0.000631293,0.000210431,0.000631293,0.000210431,0.000631293,0.000210431,0.000631293,0.000210431
5,32.7979,1.38191,4.34492,1.18163,0,0,0,0,1.35071,4.39907,1.0942,0.000775792,0.000258597,0.000775792,0.000258597,0.000775792,0.000258597,0.000775792,0.000258597
6,37.6372,1.38242,4.30027,1.18653,0.02041,0.01262,0.01196,0.00781,1.34095,4.37337,1.08631,0.000913506,0.000304502,0.000913506,0.000304502,0.000913506,0.000304502,0.000913506,0.000304502
7,42.5664,1.40352,4.25518,1.18944,0.04371,0.05066,0.03155,0.02281,1.32908,4.3258,1.08024,0.00104443,0.000348144,0.00104443,0.000348144,0.00104443,0.000348144,0.00104443,0.000348144
8,47.1636,1.28936,4.19118,1.11927,0.02907,0.06513,0.02617,0.01824,1.32706,4.28995,1.07328,0.00116858,0.000389525,0.00116858,0.000389525,0.00116858,0.000389525,0.00116858,0.000389525
9,51.9739,1.36039,4.18909,1.13948,0.02998,0.294,0.03593,0.02423,1.33675,4.18291,1.06205,0.0012018,0.000400602,0.0012018,0.000400602,0.0012018,0.000400602,0.0012018,0.000400602
10,56.5903,1.32568,4.13375,1.12327,0.02991,0.38673,0.04981,0.03319,1.32917,4.11972,1.05565,0.00117353,0.000391177,0.00117353,0.000391177,0.00117353,0.000391177,0.00117353,0.000391177
11,61.9195,1.27277,4.01964,1.0963,0.03089,0.48111,0.08834,0.06151,1.32886,3.98151,1.05483,0.00114526,0.000381752,0.00114526,0.000381752,0.00114526,0.000381752,0.00114526,0.000381752
12,66.491,1.32381,3.99055,1.10804,0.02998,0.49947,0.09518,0.06671,1.33328,3.91455,1.05319,0.00111698,0.000372327,0.00111698,0.000372327,0.00111698,0.000372327,0.00111698,0.000372327
13,71.3084,1.28176,3.90019,1.11114,0.03181,0.54859,0.08305,0.05439,1.34154,3.76294,1.05503,0.00108871,0.000362902,0.00108871,0.000362902,0.00108871,0.000362902,0.00108871,0.000362902
14,75.9973,1.35122,3.93732,1.12185,0.03185,0.54977,0.08238,0.05379,1.34046,3.7131,1.05689,0.00106043,0.000353478,0.00106043,0.000353478,0.00106043,0.000353478,0.00106043,0.000353478
15,80.8057,1.30884,3.84984,1.10677,0.03097,0.60973,0.07876,0.04959,1.34133,3.59083,1.05651,0.00103216,0.000344053,0.00103216,0.000344053,0.00103216,0.000344053,0.00103216,0.000344053
16,85.4042,1.2466,3.76712,1.05998,0.03026,0.61226,0.07609,0.04661,1.34127,3.54546,1.0586,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628,0.00100388,0.000334628
17,90.1984,1.27613,3.71021,1.09238,0.63508,0.07944,0.08041,0.04737,1.34773,3.44745,1.06419,0.00097561,0.000325203,0.00097561,0.000325203,0.00097561,0.000325203,0.00097561,0.000325203
18,94.7876,1.25283,3.68682,1.07298,0.71056,0.0774,0.08105,0.04583,1.34931,3.41851,1.06534,0.000947335,0.000315778,0.000947335,0.000315778,0.000947335,0.000315778,0.000947335,0.000315778
19,99.6078,1.26402,3.61034,1.07759,0.72599,0.07724,0.08291,0.04768,1.3581,3.35228,1.06829,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354,0.000919061,0.000306354
20,104.223,1.29446,3.59655,1.0989,0.72529,0.09168,0.08232,0.0468,1.35923,3.32858,1.07011,0.000890786,0.000296929,0.000890786,0.000296929,0.000890786,0.000296929,0.000890786,0.000296929
21,109.048,1.28037,3.51067,1.06787,0.74184,0.09981,0.07616,0.04507,1.35191,3.29264,1.06647,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504,0.000862512,0.000287504
22,113.661,1.2675,3.50002,1.06592,0.74197,0.10139,0.07579,0.04495,1.35026,3.29084,1.0698,0.000834238,0.000278079,0.000834238,0.000278079,0.000834238,0.000278079,0.000834238,0.000278079
23,118.479,1.26699,3.36423,1.07489,0.73315,0.11548,0.07853,0.04696,1.345,3.28556,1.06983,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654,0.000805963,0.000268654
24,123.11,1.27028,3.32742,1.0911,0.64248,0.12639,0.08019,0.04779,1.34965,3.29016,1.07155,0.000777689,0.00025923,0.000777689,0.00025923,0.000777689,0.00025923,0.000777689,0.00025923
25,127.952,1.26147,3.33909,1.09301,0.49554,0.15057,0.08153,0.04914,1.34351,3.28772,1.07236,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805,0.000749414,0.000249805
26,132.552,1.25356,3.33103,1.07907,0.49795,0.15219,0.08111,0.04954,1.34522,3.29319,1.0751,0.00072114,0.00024038,0.00072114,0.00024038,0.00072114,0.00024038,0.00072114,0.00024038
27,137.416,1.28238,3.28169,1.09109,0.57353,0.15407,0.08874,0.05441,1.33972,3.28854,1.07558,0.000692866,0.000230955,0.000692866,0.000230955,0.000692866,0.000230955,0.000692866,0.000230955
